stimON,18:52:01.9777792
dotsMOVE,18:52:02.9616512
stimOFF,18:52:03.9866496
r30,18:52:03.9883904
stimON,18:52:07.8912896
dotsMOVE,18:52:08.8865152
stimOFF,18:52:09.9113984
l40,18:52:09.9125888
stimON,18:52:13.4462208
dotsMOVE,18:52:14.4363136
stimOFF,18:52:15.4612992
r30,18:52:15.4636544
stimON,18:52:19.0615168
dotsMOVE,18:52:20.0610560
stimOFF,18:52:21.0861056
l40,18:52:21.0884224
stimON,18:52:25.0664320
dotsMOVE,18:52:26.0608512
stimOFF,18:52:27.0858240
r30,18:52:27.0870016
stimON,18:52:31.0425600
dotsMOVE,18:52:32.0357248
stimOFF,18:52:33.0606208
l40,18:52:33.0618240
stimON,18:52:37.0968448
dotsMOVE,18:52:38.0854144
stimOFF,18:52:39.1104000
l40,18:52:39.1119872
stimON,18:52:43.1087104
dotsMOVE,18:52:44.1102848
stimOFF,18:52:45.1101568
r30,18:52:45.1115648
stimON,18:52:49.1124096
dotsMOVE,18:52:50.1099392
stimOFF,18:52:51.1349120
l40,18:52:51.1362176
stimON,18:52:54.7895296
dotsMOVE,18:52:55.7847808
stimOFF,18:52:56.8097920
r30,18:52:56.8125824
stimON,18:53:00.7615872
dotsMOVE,18:53:01.7595776
stimOFF,18:53:02.7847808
l40,18:53:02.7902976
stimON,18:53:06.4905600
dotsMOVE,18:53:07.4844416
stimOFF,18:53:08.5093632
r30,18:53:08.5107328
stimON,18:53:12.5204736
dotsMOVE,18:53:13.5091584
stimOFF,18:53:14.5342208
r30,18:53:14.5364736
stimON,18:53:18.4583680
dotsMOVE,18:53:19.4589440
stimOFF,18:53:20.4838656
l40,18:53:20.4852096
stimON,18:53:24.4382336
dotsMOVE,18:53:25.4337152
stimOFF,18:53:26.4587392
l40,18:53:26.4599296
stimON,18:53:30.2583680
dotsMOVE,18:53:31.2584832
stimOFF,18:53:32.2835200
r30,18:53:32.2851328
stimON,18:53:36.2259968
dotsMOVE,18:53:37.2332672
stimOFF,18:53:38.2332544
r30,18:53:38.2349696
stimON,18:53:42.0813568
dotsMOVE,18:53:43.0831360
stimOFF,18:53:44.0830720
l40,18:53:44.0848384
stimON,18:53:47.6888064
dotsMOVE,18:53:48.6829184
stimOFF,18:53:49.7079040
l40,18:53:49.7105408
stimON,18:53:53.2510592
dotsMOVE,18:53:54.2577152
stimOFF,18:53:55.2577664
r30,18:53:55.2600704
stimON,18:53:59.0642816
dotsMOVE,18:54:00.0574592
stimOFF,18:54:01.0825216
l40,18:54:01.0852992
stimON,18:54:04.9074688
dotsMOVE,18:54:05.9073024
stimOFF,18:54:06.9322368
r30,18:54:06.9337344
stimON,18:54:10.9245056
dotsMOVE,18:54:11.9070976
stimOFF,18:54:12.9320064
l40,18:54:12.9337984
stimON,18:54:16.6957056
dotsMOVE,18:54:17.6819328
stimOFF,18:54:18.7068544
r30,18:54:18.7084672
stimON,18:54:22.3137152
dotsMOVE,18:54:23.3067264
stimOFF,18:54:24.3316096
r30,18:54:24.3328896
stimON,18:54:28.1803136
dotsMOVE,18:54:29.1814400
stimOFF,18:54:30.2064256
l40,18:54:30.2079872
stimON,18:54:33.9548672
dotsMOVE,18:54:34.9563392
stimOFF,18:54:35.9563776
r30,18:54:35.9587200
stimON,18:54:39.5011072
dotsMOVE,18:54:40.5060224
stimOFF,18:54:41.5059840
l40,18:54:41.5072512
stimON,18:54:45.2953600
dotsMOVE,18:54:46.2808320
stimOFF,18:54:47.3059712
r30,18:54:47.3088384
stimON,18:54:50.9392512
dotsMOVE,18:54:51.9307392
stimOFF,18:54:52.9556480
l40,18:54:52.9568512
stimON,18:54:56.6201344
dotsMOVE,18:54:57.6054528
stimOFF,18:54:58.6303360
l40,18:54:58.6314752
stimON,18:55:02.5540864
dotsMOVE,18:55:03.5552768
stimOFF,18:55:04.5552256
r30,18:55:04.5575296
stimON,18:55:08.1674240
dotsMOVE,18:55:09.1549824
stimOFF,18:55:10.1800064
l40,18:55:10.1816192
stimON,18:55:13.7582592
dotsMOVE,18:55:14.7548800
stimOFF,18:55:15.7798144
r30,18:55:15.7892736
stimON,18:55:19.7233024
dotsMOVE,18:55:20.7046144
stimOFF,18:55:21.7295360
r30,18:55:21.7311232
stimON,18:55:25.6406144
dotsMOVE,18:55:26.6294272
stimOFF,18:55:27.6543616
l40,18:55:27.6576000
stimON,18:55:31.3882496
dotsMOVE,18:55:32.3792000
stimOFF,18:55:33.4041472
l40,18:55:33.4060800
stimON,18:55:37.3729280
dotsMOVE,18:55:38.3539840
stimOFF,18:55:39.3790208
r30,18:55:39.3815808
stimON,18:55:43.1733120
dotsMOVE,18:55:44.1788288
stimOFF,18:55:45.1787264
l40,18:55:45.1800704
stimON,18:55:49.0009600
dotsMOVE,18:55:50.0035968
stimOFF,18:55:51.0035456
r30,18:55:51.0047232
stimON,18:55:54.7053952
dotsMOVE,18:55:55.7033472
stimOFF,18:55:56.7284224
l40,18:55:56.7312000
stimON,18:56:00.7017600
dotsMOVE,18:56:01.7031424
stimOFF,18:56:02.7031040
r30,18:56:02.7049216
stimON,18:56:06.2388480
dotsMOVE,18:56:07.2279552
stimOFF,18:56:08.2528896
r30,18:56:08.2544000
stimON,18:56:12.2176128
dotsMOVE,18:56:13.2027520
stimOFF,18:56:14.2277120
l40,18:56:14.2298496
stimON,18:56:18.2360576
dotsMOVE,18:56:19.2274688
stimOFF,18:56:20.2524672
r30,18:56:20.2540928
stimON,18:56:24.1294592
dotsMOVE,18:56:25.1273216
stimOFF,18:56:26.1522432
l40,18:56:26.1536896
stimON,18:56:29.8281856
dotsMOVE,18:56:30.8271616
stimOFF,18:56:31.8521088
r30,18:56:31.8543360
stimON,18:56:35.6800000
dotsMOVE,18:56:36.6768768
stimOFF,18:56:37.7018880
l40,18:56:37.7041152
stimON,18:56:41.4216448
dotsMOVE,18:56:42.4016512
stimOFF,18:56:43.4267264
r30,18:56:43.4286592
stimON,18:56:47.0718208
dotsMOVE,18:56:48.0765056
stimOFF,18:56:49.0764288
l40,18:56:49.0784896
stimON,18:56:52.9604480
dotsMOVE,18:56:53.9512832
stimOFF,18:56:54.9762816
l40,18:56:54.9775232
stimON,18:56:58.8160768
dotsMOVE,18:56:59.8010496
stimOFF,18:57:00.8260608
r30,18:57:00.8275072
stimON,18:57:04.8365184
dotsMOVE,18:57:05.8258944
stimOFF,18:57:06.8507904
l40,18:57:06.8519424
stimON,18:57:10.6606976
dotsMOVE,18:57:11.6505856
stimOFF,18:57:12.6756864
r30,18:57:12.6784512
stimON,18:57:16.5096320
dotsMOVE,18:57:17.5004160
stimOFF,18:57:18.5254528
r30,18:57:18.5280000
stimON,18:57:22.2985856
dotsMOVE,18:57:23.3002112
stimOFF,18:57:24.3001856
l40,18:57:24.3020160
stimON,18:57:28.2525824
dotsMOVE,18:57:29.2499968
stimOFF,18:57:30.2749824
r30,18:57:30.2775936
stimON,18:57:34.0823040
dotsMOVE,18:57:35.0747904
stimOFF,18:57:36.0997632
l40,18:57:36.1010304
stimON,18:57:39.6344064
dotsMOVE,18:57:40.6246528
stimOFF,18:57:41.6495744
l40,18:57:41.6512128
stimON,18:57:45.3318912
dotsMOVE,18:57:46.3243648
stimOFF,18:57:47.3494272
r30,18:57:47.3519360
stimON,18:57:51.2168704
dotsMOVE,18:57:52.1992576
stimOFF,18:57:53.2241536
r30,18:57:53.2256640
stimON,18:57:56.8032128
dotsMOVE,18:57:57.7989632
stimOFF,18:57:58.8240000
l40,18:57:58.8252288
stimON,18:58:02.7831680
dotsMOVE,18:58:03.7739136
stimOFF,18:58:04.7988224
l40,18:58:04.8008448
stimON,18:58:08.6168192
dotsMOVE,18:58:09.5985408
stimOFF,18:58:10.6236800
r30,18:58:10.6261504
stimON,18:58:14.4860416
dotsMOVE,18:58:15.4734592
stimOFF,18:58:16.4983296
r30,18:58:16.5006976
stimON,18:58:20.3940608
dotsMOVE,18:58:21.3982464
stimOFF,18:58:22.3981952
l40,18:58:22.4009728
stimON,18:58:26.0832256
dotsMOVE,18:58:27.0728960
stimOFF,18:58:28.0978816
r30,18:58:28.0991488
stimON,18:58:31.8823808
dotsMOVE,18:58:32.8728704
stimOFF,18:58:33.8977024
l40,18:58:33.8998656
stimON,18:58:37.5064704
dotsMOVE,18:58:38.4976384
stimOFF,18:58:39.5224320
l40,18:58:39.5236224
stimON,18:58:43.2997632
dotsMOVE,18:58:44.2973440
stimOFF,18:58:45.3223168
r30,18:58:45.3239040
stimON,18:58:49.1213824
dotsMOVE,18:58:50.1221504
stimOFF,18:58:51.1222272
l40,18:58:51.1248896
stimON,18:58:55.1159040
dotsMOVE,18:58:56.0969472
stimOFF,18:58:57.1218176
r30,18:58:57.1229824
stimON,18:59:00.8669312
dotsMOVE,18:59:01.8718080
stimOFF,18:59:02.8716416
r30,18:59:02.8731904
stimON,18:59:06.4077184
dotsMOVE,18:59:07.3965568
stimOFF,18:59:08.4215040
l40,18:59:08.4238208
stimON,18:59:12.0806272
dotsMOVE,18:59:13.0712832
stimOFF,18:59:14.0962816
r30,18:59:14.0992000
stimON,18:59:17.9475456
dotsMOVE,18:59:18.9460736
stimOFF,18:59:19.9710592
l40,18:59:19.9728768
stimON,18:59:23.5827968
dotsMOVE,18:59:24.5708800
stimOFF,18:59:25.5958528
l40,18:59:25.5970944
stimON,18:59:29.1683072
dotsMOVE,18:59:30.1706624
stimOFF,18:59:31.1706112
r30,18:59:31.1717248
stimON,18:59:35.0207616
dotsMOVE,18:59:36.0205312
stimOFF,18:59:37.0455552
l40,18:59:37.0492416
stimON,18:59:40.6993664
dotsMOVE,18:59:41.6952832
stimOFF,18:59:42.7202944
r30,18:59:42.7220352
stimON,18:59:46.3962368
dotsMOVE,18:59:47.3950080
stimOFF,18:59:48.4200448
r30,18:59:48.4216320
stimON,18:59:52.0219008
dotsMOVE,18:59:53.0198784
stimOFF,18:59:54.0448384
l40,18:59:54.0467200
stimON,18:59:57.5837184
dotsMOVE,18:59:58.5696768
stimOFF,18:59:59.5946368
r30,18:59:59.5961856
stimON,19:00:03.5848704
dotsMOVE,19:00:04.5945472
stimOFF,19:00:05.5944960
l40,19:00:05.5985792
stimON,19:00:09.3687936
dotsMOVE,19:00:10.3692288
stimOFF,19:00:11.3691776
r30,19:00:11.3732224
stimON,19:00:15.3470208
dotsMOVE,19:00:16.3440640
stimOFF,19:00:17.3689472
l40,19:00:17.3706624
stimON,19:00:20.9758592
dotsMOVE,19:00:21.9688576
stimOFF,19:00:22.9937920
r30,19:00:22.9951872
stimON,19:00:26.5215488
dotsMOVE,19:00:27.5186048
stimOFF,19:00:28.5435648
l40,19:00:28.5448064
stimON,19:00:32.3278208
dotsMOVE,19:00:33.3184128
stimOFF,19:00:34.3433984
r30,19:00:34.3455744
stimON,19:00:38.1702528
dotsMOVE,19:00:39.1682688
stimOFF,19:00:40.1931520
l40,19:00:40.1946624
stimON,19:00:43.7455616
dotsMOVE,19:00:44.7429760
stimOFF,19:00:45.7679488
l40,19:00:45.7691008
stimON,19:00:49.5691904
dotsMOVE,19:00:50.5678592
stimOFF,19:00:51.5928064
r30,19:00:51.5944448
stimON,19:00:55.1779072
dotsMOVE,19:00:56.1676928
stimOFF,19:00:57.1925760
r30,19:00:57.1937920
stimON,19:01:01.0631296
dotsMOVE,19:01:02.0673664
stimOFF,19:01:03.0673536
l40,19:01:03.0685568
stimON,19:01:06.8623616
dotsMOVE,19:01:07.8422528
stimOFF,19:01:08.8671488
r30,19:01:08.8685568
stimON,19:01:12.6250880
dotsMOVE,19:01:13.6169472
stimOFF,19:01:14.6419584
l40,19:01:14.6437760
stimON,19:01:18.3402368
dotsMOVE,19:01:19.3417984
stimOFF,19:01:20.3418240
r30,19:01:20.3441280
stimON,19:01:24.2452864
dotsMOVE,19:01:25.2415872
stimOFF,19:01:26.2665472
